Gender,Age,City,Profession,Academic Pressure,Study Satisfaction,Sleep Duration,Dietary Habits,Degree,Have you ever had suicidal thoughts ?,Work/Study Hours,Financial Stress,Family History of Mental Illness,Depression
1,33.0,44,12,5.0,2.0,0,0,4,1,3.0,1.0,0,1
0,24.0,2,12,2.0,5.0,0,1,11,0,3.0,2.0,1,0
1,31.0,37,12,3.0,5.0,2,0,6,0,9.0,1.0,1,0
0,28.0,42,12,3.0,2.0,1,1,8,1,4.0,5.0,1,1
0,25.0,14,12,4.0,3.0,0,1,17,1,1.0,1.0,0,0
1,29.0,32,12,2.0,3.0,2,0,27,0,4.0,1.0,0,0
1,30.0,39,12,3.0,4.0,1,0,11,0,1.0,2.0,0,0
0,30.0,5,12,2.0,4.0,2,3,0,0,0.0,1.0,1,0
1,28.0,26,12,3.0,1.0,1,1,3,1,12.0,3.0,0,1
1,31.0,30,12,2.0,3.0,2,1,12,1,2.0,5.0,0,1
1,24.0,26,12,3.0,3.0,0,1,0,1,11.0,1.0,1,1
1,33.0,41,12,3.0,4.0,2,0,9,1,10.0,2.0,1,0
1,27.0,15,12,5.0,1.0,2,1,17,0,10.0,1.0,1,1
0,19.0,33,12,2.0,4.0,2,3,0,0,6.0,2.0,1,0
0,19.0,15,12,5.0,5.0,2,1,0,1,4.0,5.0,1,1
1,29.0,37,12,3.0,3.0,3,1,17,1,10.0,2.0,1,1
1,25.0,30,12,5.0,2.0,2,3,15,1,2.0,5.0,1,1
0,20.0,1,12,5.0,3.0,0,0,0,1,10.0,3.0,0,1
1,19.0,5,12,2.0,2.0,1,3,0,0,6.0,3.0,0,0
1,25.0,15,12,3.0,3.0,0,1,3,0,8.0,3.0,1,1
1,29.0,19,12,3.0,4.0,0,1,3,1,1.0,1.0,0,0
1,29.0,19,12,3.0,3.0,1,1,17,0,0.0,1.0,0,0
0,25.0,1,12,3.0,3.0,3,3,25,1,10.0,5.0,0,1
1,23.0,39,12,1.0,4.0,1,0,10,0,11.0,3.0,0,0
1,18.0,2,12,4.0,3.0,3,3,0,1,11.0,5.0,1,1
0,20.0,25,12,5.0,5.0,1,1,0,0,2.0,2.0,1,1
1,31.0,1,12,2.0,5.0,1,1,12,1,3.0,3.0,1,1
1,25.0,20,12,3.0,3.0,3,3,15,1,10.0,5.0,0,1
1,33.0,13,12,5.0,2.0,2,1,16,0,8.0,3.0,1,0
1,28.0,15,12,3.0,3.0,1,3,16,1,11.0,2.0,0,1
1,18.0,38,12,4.0,5.0,2,1,0,1,5.0,4.0,1,1
1,18.0,44,12,2.0,3.0,0,3,0,1,4.0,2.0,0,1
1,21.0,14,12,1.0,1.0,2,0,21,1,7.0,2.0,0,0
0,31.0,15,12,1.0,3.0,1,0,27,0,8.0,4.0,1,0
1,21.0,38,12,1.0,3.0,3,0,18,0,0.0,3.0,1,0
0,25.0,21,12,1.0,3.0,1,1,4,1,2.0,2.0,0,0
0,21.0,4,12,5.0,2.0,0,1,2,1,0.0,4.0,1,1
1,28.0,37,12,5.0,3.0,1,3,8,1,9.0,1.0,1,0
